FSC [488],SSC [488]
27003,17298
0,270
23559,14857
19020,14806
34431,25332
20016,14571
29766,19948
65535,65535
27169,19026
25694,16848
17404,17768
25353,16019
12586,14442
19677,13276
20020,16529
13402,15081
28374,22472
21100,15022
0,1750
19646,17344
26646,18040
12739,12596
11750,13138
17922,16641
18355,18794
23818,13262
25821,16266
0,4160
0,106
28807,17702
14448,17641
0,1792
20420,17307
27290,15294
26720,16538
11753,13982
28761,15073
28863,20313
27605,16848
11398,13680
33828,22165
13989,15850
13738,18721
12185,13242
27866,17566
17070,11924
14650,13902
29581,17209
25616,19848
30784,16273
26942,22560
14736,16204
19228,16745
25110,20475
19965,18003
24552,19758
24400,20952
25945,14550
29823,15091
24896,22126
13892,17220
13740,16323
13365,14953
23970,14280
0,11344
18861,16036
12706,13455
0,2183
26895,11281
0,5571
25825,26881
19373,16141
17556,14710
25243,16459
20687,16203
19452,17694
24077,18822
26899,20426
20611,17017
25507,19553
28840,22528
12452,14891
31337,18628
26350,18215
0,0
42240,24491
20205,15558
16276,13536
29980,21980
21780,23406
0,17852
24401,18079
21460,30111
27577,15844
25188,14813
25015,15818
34095,30183
30695,20205
0,0
0,3414
23424,16083
25292,16656
23469,35488
10301,17621
25535,19351
0,0
19363,14673
24497,15357
23986,18937
24866,25776
24237,34107
27909,17669
12768,12898
24445,14766
39984,29922
18421,14934
24209,17424
11569,13662
36451,29993
18378,17449
26350,13677
24952,14929
20820,15604
17308,16666
26011,15874
0,0
21084,16033
25094,17398
19134,17196
0,147
16475,14167
0,8356
15674,16778
27404,18066
27419,18197
14946,16727
10766,12655
0,471
27746,16398
12037,14337
0,10614
0,0
17470,13112
18534,15704
25914,15882
16543,13214
25557,16436
18516,16581
36207,25949
13296,17063
24490,16235
0,0
29238,24967
11961,14448
0,71
14378,17003
0,0
13115,14539
0,0
16660,16210
13914,15803
29357,22655
13256,16825
27756,21758
14664,17026
24786,21391
18308,14634
14619,15796
28461,28352
23512,14471
14232,16022
15145,18479
24454,22752
0,393
22854,15008
19507,15834
13432,15056
28632,18148
14177,15452
24501,15472
17290,20700
2583,10064
23901,19347
24019,12420
19107,20779
14161,17554
0,0
24153,19503
9416,16261
30917,21945
17012,16345
0,74
28522,21189
14109,16988
24962,17109
17888,14105
26778,16522
6666,13734
17908,16583
0,1164
41182,25186
25879,15977
32989,31089
12805,13050
37268,45156
25312,17636
13677,13989
44237,38586
37860,22238
20650,17404
26412,21973
11197,10369
0,13382
30531,25966
12685,13507
24907,16110
23972,17424
29576,41388
25386,19459
16706,13250
25028,17224
14075,15829
11502,12758
12094,14146
25976,17816
26562,14861
26991,17589
2320,8737
26574,17818
22977,15545
18854,16245
0,17258
0,0
26754,18029
15042,17839
25009,19917
12756,15484
18704,16776
21014,18673
25191,18307
12163,14592
0,0
0,0
27124,18720
0,0
26777,16920
19049,17250
48844,49945
23688,18320
28640,18996
0,0
18558,16710
11409,13603
17367,16567
12089,11252
0,2952
25074,17454
24003,14544
28399,17213
25707,18086
12642,15151
27914,18172
0,0
0,3743
17511,14013
27768,17693
0,4684
0,0
19319,17334
17403,13546
19739,17971
42623,49212
17923,18288
45470,54148
18250,14026
18156,17271
0,1540
29528,17843
0,0
24776,15167
19479,17613
23692,13069
25021,16028
11794,14539
25362,17780
19428,17592
0,0
17680,16872
16028,16609
23658,14691
26648,16206
6584,13081
65535,65535
65535,1784
14293,16288
13892,15000
65535,65535
0,6179
26293,18023
20358,26078
34457,23647
18880,13878
19528,17426
14713,17862
19346,17729
25443,17123
14590,16648
31338,19384
25254,14828
26579,16516
16990,12854
0,3203
18910,15946
24948,16321
1868,10919
15957,13563
21716,17023
18779,19534
19672,19394
8440,13839
18550,15509
15306,18175
18978,15579
10321,11499
21453,19785
25431,21646
0,0
0,1050
13410,15009
20152,17087
24783,14092
13442,13918
27722,14912
40337,32213
24023,21588
44186,35702
0,121
14506,15529
0,20
0,0
25683,16701
14057,22665
12868,14462
28517,20412
25253,21894
11029,12816
39562,31829
19017,15736
16356,12833
6305,13338
24347,13302
21772,23245
29038,27476
18613,16748
16551,14266
17348,16984
28195,18932
28924,20077
15331,16469
26016,20421
0,0
41881,30572
0,5654
26463,16200
14269,16896
25385,18033
27505,20036
0,11498
13486,14749
19610,15249
15776,9598
11719,13190
15727,17412
18175,16145
26604,17379
25620,15921
12477,14028
21625,7956
10497,11425
0,1481
25523,16246
40384,31752
25038,17983
18670,18905
11329,14641
34435,23063
0,2800
14089,17520
40450,31178
14920,15343
14572,17289
27143,14617
19531,16851
0,15892
16248,14453
19419,17223
14715,14344
27117,14562
13064,14986
26977,24167
13033,16588
18550,14997
17662,14471
25761,19068
19209,17868
0,0
27135,18235
28858,23913
5588,8514
25610,19692
14846,14799
0,1390
24270,15065
17957,14557
13954,16476
26712,18730
12778,14361
26822,17849
0,0
20473,18430
22021,20935
15616,16810
27530,17338
16844,14752
18651,14737
19884,16298
14083,17648
32796,40425
33870,26950
23650,13086
0,7784
26094,16018
41003,32658
27276,12811
0,405
0,2427
0,98
17833,16872
30619,22708
18426,18719
0,0
33324,28749
13580,15968
0,6490
19072,17180
11304,12900
0,602
13682,14674
0,0
17178,14007
25762,16347
14414,16060
13509,15939
12930,15850
25950,16529
25830,15682
14836,18183
24058,17952
11859,14650
23590,17479
26623,18689
24147,17394
8496,10244
21229,15656
17293,14791
15821,17229
65535,59331
12994,13125
12712,15140
26212,21121
14483,16711
0,0
16047,19237
13247,14564
24855,15790
30413,19141
22947,13416
7255,15308
27426,18631
20274,15405
20635,19123
25292,19960
22083,9331
25747,15039
26018,16723
14101,15640
13064,15428
24453,17465
17176,14552
18252,18152
26857,17855
0,0
25632,18067
18490,17156
19967,16178
5701,16082
24174,15553
12143,13248
31653,22010
19269,17350
23650,16254
0,835
27206,20098
29210,18742
15309,16549
0,170
19972,17564
17751,18982
25938,18449
0,0
21134,35771
18262,12718
13404,16209
18423,12490
18487,17511
401,3820
16510,15191
30871,27042
27791,28886
18821,18474
0,0
25927,15369
25781,20655
0,16999
22677,11336
19335,17114
19578,13023
21509,18548
0,51407
11489,12394
12501,15172
0,12714
25665,16520
30129,25832
17212,15461
0,4616
18809,16117
13017,14703
11618,17444
25368,14241
10520,12509
23605,19057
12965,14864
12563,14762
25442,17396
16576,13021
27552,3044
12588,16915
15317,16734
14310,14259
13323,16061
64802,48953
54557,37267
29427,18296
27036,14904
14382,14240
14540,15824
29407,17462
0,0
18965,15671
25977,15770
0,0
25641,16417
19757,14909
19801,23419
26733,14944
18881,18739
23514,13456
26513,22156
0,0
24324,14653
28492,12876
0,0
26855,14645
14421,16858
20502,19360
29200,21291
14173,14286
16014,18276
0,11184
0,10790
16583,12347
27184,22001
18548,18089
18628,17802
19898,17012
23803,15557
13487,15204
12218,15152
27553,17671
20229,15749
25370,17839
65535,65535
26094,14348
23344,16890
40043,31174
0,0
19423,15435
24848,17699
30060,17065
13005,15185
14410,18045
17118,15735
15015,17429
25867,18170
24817,20072
19681,16990
28513,19847
26877,20796
24465,13167
19890,16972
26470,24496
2873,5675
0,2810
12134,12885
28798,24100
23056,15590
35132,26436
14031,15424
0,0
26914,22165
40345,33110
19696,16947
28504,20332
13610,15539
27790,20848
286,5327
14620,16484
24865,17479
26337,20497
18621,16923
17642,21049
0,12343
15460,16135
27071,15448
65535,65535
10423,12225
19892,15933
13681,16515
13162,17696
26586,18236
65535,50298
15314,18674
13838,15513
13230,15924
14457,17502
17504,14305
20349,32118
19091,19004
0,1927
14772,16805
0,8768
26096,16396
26959,18436
32282,19748
0,0
11344,11101
30628,43992
20550,17076
27548,20181
15745,16790
28266,16105
537,13385
26305,21323
25392,15348
14294,14374
30475,24942
0,2489
19060,16258
25288,16104
26882,15968
26728,19794
27423,16764
39103,26016
17481,14239
23880,16389
13660,13619
2814,10383
22184,13328
28946,19428
26398,19509
17367,17442
13396,4952
12527,12367
26082,15360
24230,13128
