FSC [488],SSC [488]
7764,13054
8323,13957
0,0
40642,24800
23337,18647
25093,18012
8824,16411
1944,4590
40222,20562
28518,18508
26105,14593
24295,14920
43296,29202
0,965
27883,16689
0,0
26207,12528
12076,13991
41942,27177
34404,22637
41684,29472
29069,18920
18876,15690
26228,14990
20764,15087
0,1224
43039,22491
22677,15005
41488,31444
32151,23561
0,3742
27881,17613
19160,15637
27650,12748
24538,17888
0,20992
23951,12332
0,2664
23456,17006
9236,13469
43258,31917
18994,18732
31081,21945
24127,10821
0,0
25864,11938
0,0
30917,20877
26410,16668
0,1583
11845,14201
9322,11988
0,2510
28270,19165
24007,13114
41792,31051
41045,28258
9209,10764
0,794
23667,16223
0,0
10119,10310
21247,15994
26106,19901
13104,14604
30765,19530
47366,36231
9505,14966
9825,13797
0,0
23218,19645
21662,9137
26593,17542
0,379
32728,15957
0,0
25085,15141
9905,10870
0,1916
37891,31537
18332,18601
0,3480
26262,21124
30569,22361
0,3475
27553,21354
10540,14178
15421,16472
2978,10299
20496,16526
27640,21210
25212,17422
27223,19125
19966,18182
11662,13814
22188,18067
0,6454
23349,15589
0,1820
26010,17096
22538,20517
25660,20105
41054,30186
31509,21941
17715,15413
0,841
19331,18504
27358,19226
11454,10523
23604,15872
26597,18702
33438,25342
27073,19462
0,0
24377,17386
2992,6410
18772,20411
11061,16059
26714,17560
22753,14880
25830,15604
20003,19466
23742,22025
25206,14518
25500,14092
31902,20573
28497,15050
29972,18762
3557,12870
13467,14606
26410,17892
0,6727
0,4059
14738,16126
35871,18433
11122,13679
31446,24579
25080,17595
26452,17534
22214,14146
28234,16776
42358,29173
26386,21811
30519,21422
17974,18502
19530,17328
13968,21410
0,1278
18786,17987
27359,16896
42248,27392
40962,30584
24473,19864
42581,27462
18857,18971
40589,29581
34118,18658
20662,17934
9826,13869
20333,15823
7513,13363
16253,13286
26991,18074
13083,15319
24001,12113
0,12744
19104,2885
11683,14045
31460,12578
41881,25687
6314,8441
13772,9436
30123,18595
18166,0
34111,21502
10119,12878
25876,18507
22691,11819
26123,15788
27912,19247
25301,20650
16805,17562
27736,17431
32873,17771
25338,17418
41773,29725
12695,17233
24254,15886
30646,22158
18629,13842
23686,16579
25217,18112
28731,17024
5883,14662
11567,14918
0,2071
31058,19603
1592,7969
42123,29061
18073,16067
24833,15816
41378,31154
41721,23720
0,0
19735,15374
11752,16530
23349,18750
28165,13956
26482,16609
26733,19461
30757,21052
27009,16449
9637,12760
35100,20636
25753,18925
5807,10917
0,1789
16808,8545
40487,31189
24825,13853
42655,27958
26497,18045
26259,11565
34415,19577
41295,30629
10520,16795
28074,18504
29201,20724
0,4752
22436,14560
11120,13086
20735,15674
33838,17505
12861,17098
41270,25985
0,2218
27064,17617
11182,14811
20252,16946
18545,14892
25570,18128
29591,18036
13936,16216
29124,19243
27398,14370
46265,25919
34293,20145
6404,2705
27786,14655
33348,21126
32923,16562
23824,17115
9722,11184
30900,16832
25780,16988
4444,13546
19397,13172
2838,9716
25680,12908
32720,20662
29312,18092
21236,16167
17626,30253
0,0
22326,18544
8171,11629
29391,18016
42736,31240
0,0
27174,16699
0,1913
23558,20151
0,3968
17420,14411
19259,22013
19224,15055
21091,19643
29362,17476
23785,13176
11033,13399
29972,15436
32286,22556
28826,17154
27752,16236
0,0
39761,26914
18477,13043
2533,6212
26796,16855
41981,32021
29697,28890
28959,16000
0,0
0,1024
5334,6669
30099,20016
1313,7554
30222,19596
10071,14400
42678,30835
11302,16345
29290,18016
9794,14826
25501,16932
0,3282
0,1520
13825,15397
30441,14168
15980,13471
35772,15299
32257,13860
26208,17823
0,3864
24226,19825
0,0
0,0
42675,31964
18544,19024
23822,16711
28610,19655
35883,21254
14663,15713
0,7492
65535,65535
0,0
35512,21216
5177,11998
15515,17234
23006,14309
41027,26026
18917,16531
26425,17203
11338,16320
26403,16557
23475,19492
37798,24144
27478,22569
1428,5580
16000,15739
18731,16374
25343,17546
40674,28641
25899,15366
2532,1225
9132,11950
41176,29577
27677,18103
1224,5460
8679,14887
41500,26080
26517,18410
18557,17140
0,0
25120,15383
1065,6541
11519,11003
28750,16186
25756,20560
0,6875
0,7357
42074,31466
10164,12051
41127,28588
42247,31337
0,1514
0,6846
27573,15574
26722,18112
41384,29522
0,9992
22786,2418
25226,17027
13508,16408
13279,18201
18408,19728
1393,3098
24866,18345
23768,17042
31532,13715
17926,16619
29135,17255
24077,19618
30104,21209
27024,19517
26078,18986
0,2380
11835,17541
25539,14960
10568,13494
17334,20595
22916,14106
23725,15972
12017,15519
2043,3326
24579,14442
0,952
0,5583
24260,18844
18278,16652
30156,20256
26221,16758
9361,13716
10948,12287
23877,16295
3306,4922
34150,23371
23193,17295
22374,14233
40511,21231
27707,20355
42878,31363
218,8560
35228,21167
9516,16972
26568,18794
19882,13024
9750,15586
40446,29764
30796,17302
4438,5833
27108,14988
882,8976
0,3247
0,6079
27679,17233
35736,19966
26753,17493
28212,13236
26985,17099
13477,14557
8642,12519
24358,18715
34764,24530
13793,18415
27766,18153
19148,16979
28213,18208
31847,14326
24815,17878
31661,16808
42164,32356
1092,6834
25803,14531
25813,19551
0,0
26323,17983
32944,20793
42591,30972
30114,20028
30187,18938
25051,11263
2819,5515
41978,29931
23605,18847
29324,16598
29777,32229
3570,6598
25261,19030
24402,18651
25432,14313
29642,16007
0,102
31775,23698
0,4956
23404,15229
25366,17337
24584,12128
10167,15395
38612,39516
0,0
10769,15448
8606,13704
27871,23477
9993,11964
43863,35405
19285,19770
2046,11320
28316,20773
41565,32262
0,2008
30712,18625
26177,16900
0,2758
25543,16557
40562,30661
30025,19755
34768,21756
5869,10966
24724,18164
7702,6104
8327,11143
22955,14851
11575,16885
0,0
27448,17937
105,3346
3445,8667
25160,15980
24787,18334
0,3388
4384,8937
23720,15359
24386,17089
0,21747
27892,16663
26506,17356
0,0
39943,31474
3159,6214
31767,22478
0,0
27635,16563
21975,937
25420,12382
41900,28824
0,864
26846,17481
25159,18150
27842,17829
0,0
0,9132
0,387
24020,16516
25550,16304
25403,18437
915,4243
31446,20510
0,725
0,0
35265,21987
27047,16815
0,0
28586,18240
33257,20484
8897,13871
0,106
22961,17568
24232,13573
10308,12636
0,0
41506,29440
31573,15051
31065,23934
25390,20494
11929,14033
4946,8358
0,7331
28011,19772
31039,18171
0,0
18824,3093
26308,19127
26331,13444
15834,15757
25124,18110
27443,17579
40273,22790
18733,11437
20448,18202
29692,15574
55491,38058
26400,17355
28446,13622
27499,19157
13641,17459
27684,18148
3700,6124
24242,17923
25369,16520
17547,17120
27722,17245
29583,16193
0,10323
20606,17724
34668,28122
29578,16911
27217,16846
5764,8889
17636,19337
42149,32808
19712,19140
36966,25317
24939,16022
27693,16974
25732,14344
0,2494
32149,22306
0,0
9031,14393
27335,15508
11099,17651
24442,15449
26262,16906
22908,12549
0,5195
26834,13574
15974,13704
15720,11999
13453,20730
4327,6908
15179,21133
18689,17648
34493,20776
30112,23111
25969,18256
12806,20215
23201,14416
28983,17544
26110,16238
33894,35356
9409,14591
28030,16652
26450,19352
24456,12632
0,369
20626,16586
22263,10629
25885,15286
24944,16454
0,0
65535,57533
3958,4398
24706,15476
23146,18822
16501,17778
3387,6788
25849,17792
20786,12021
24936,16604
20078,14767
32024,21848
18882,17628
7164,14945
25654,18391
29831,18924
12272,16902
12155,15444
10594,15911
20088,23346
28909,17744
30990,19809
25939,16351
31668,16582
41637,30284
18246,20285
1670,10324
5587,21949
20696,16407
27753,14840
27282,18239
28777,24166
8843,13676
29886,19918
12998,17368
24816,11833
29078,16939
30280,18876
9970,12179
0,4920
27837,15547
26128,15921
25037,14828
26587,16140
3238,5960
0,0
12118,9897
27964,16867
27575,17836
24704,17037
40748,31604
1232,15032
41476,32479
21090,13888
14546,12220
9934,13659
28398,19289
9531,12914
0,0
50342,43664
8583,10886
31298,25677
23927,19855
9806,11472
23502,21566
42429,32063
0,9167
25976,17125
41754,29783
27197,18655
0,0
40883,26928
42644,32817
31748,22568
0,0
34889,21329
20084,14270
34756,21141
44746,31070
21332,16956
28607,22663
25065,15510
43597,29795
24718,16758
29958,18925
24083,11946
42073,33488
39740,31973
10262,14424
26426,18355
24163,15798
25498,18960
29386,17006
0,0
25002,19573
43127,32096
24807,16659
26238,18500
26332,18809
26937,20866
28589,15890
0,1426
29735,26783
0,1318
41816,33536
11265,15203
23186,17271
41494,27683
40580,29759
7759,7978
852,3534
0,0
20274,20817
26787,17182
859,6698
15744,21118
42552,30510
65535,5036
25593,20750
26948,17287
12241,16770
12342,15360
11370,15955
10525,13187
18428,19155
19841,14501
0,0
19958,15520
26373,16002
37265,19445
9462,4734
28032,16239
28078,19559
0,0
41299,28256
7629,9229
24664,19888
25198,18834
31022,17224
10636,13010
27834,17312
32941,25014
0,6070
24861,16121
27342,16588
41166,24858
26207,16398
19805,15462
30106,21814
27490,17569
28544,17886
10339,12117
0,7828
28607,17024
9425,12585
2307,8916
30566,22792
0,0
40506,23130
7110,6662
26492,17396
31545,17982
22717,22130
8300,11915
19322,18544
0,6014
11003,16412
10014,14008
9464,13862
0,300
27145,19659
0,0
27814,19117
12695,16464
31765,20529
32131,17608
26286,19628
23820,16297
28687,16909
0,4671
0,6142
0,10973
27521,17738
0,4881
0,0
18626,18940
10649,11306
44472,34597
23306,19460
576,6980
30085,20205
25367,19876
25136,16638
29493,15933
0,2915
30308,19396
25308,16104
26619,16981
42542,30480
29146,16900
9908,12557
11049,14849
31563,19835
4726,7354
21060,18063
31897,28602
0,20
30380,15732
42487,30803
28183,19023
7362,11877
25324,17727
25977,15250
27598,14172
22697,2191
10688,13073
26013,17568
32011,16911
19000,19141
32332,12609
0,0
6519,9420
25404,18104
0,4512
0,2512
20568,17594
19798,21348
0,0
40814,30844
11605,13998
12524,16348
1866,3145
11188,14748
0,0
16406,11003
4186,9890
27503,18106
30969,19326
24838,16891
2143,4312
25098,15585
32775,26353
12674,12656
0,5078
26885,16608
31021,23228
1195,5414
10414,14612
10181,14748
30160,20506
29905,17496
27332,16194
0,0
28160,19944
41900,31369
27074,18320
27008,18089
22671,14962
27650,20674
12790,7163
25640,16407
26811,13356
10027,14065
26490,20568
10248,13139
30777,19456
12511,15993
11157,20746
10061,14929
22909,17813
32422,16467
10623,14538
16260,16239
27684,14915
0,5047
28565,17796
41073,27781
25601,15629
24513,14436
10328,15282
17582,16311
23580,16851
2904,7564
9113,10812
18907,15708
0,0
0,5860
0,0
0,4891
9142,11687
26566,15206
13754,15215
26180,28080
0,1333
0,6061
24463,16306
25462,13718
0,2412
26856,17194
29179,21658
